Rank,Address,Name Tag,Balance,Percentage,Txn Count
257,0x51cab40a6895d2a5c092f3766b3b9830884b0adf,,"57,001.399 Ether",0.04755613%,2
258,0xd03be958e6b8da2d28ac8231a2291d6e4f0a7ea7,,"56,676.44821754 Ether",0.04728502%,5
259,0x4817d93d9b229e0771db0b7c970573d4dd953c4a,,"56,311.10218078 Ether",0.04698021%,3
260,0x7e6ea81a68a2af50f64a37b3d6e50b1abb796da8,,"56,059.32243408 Ether",0.04677015%,178
262,0x05576087d1ad92873da0a3b76e7105195935b0f5,,"55,230.01532989 Ether",0.04607827%,2
263,0x2efb50e952580f4ff32d8d2122853432bbf2e204,,"55,175.62427886 Ether",0.04603289%,548
264,0x2eb08efb9e10d9f56e46938f28c13ecb33f67b15,,"55,082.99598416 Ether",0.04595561%,38
265,0xc7347bd4d7610bd7b5e0865c7ee18b8d2c3c2560,,"55,000.86478917 Ether",0.04588709%,2
266,0x7c2a289c0523e748c286a37570d2efc16d2c934e,,"55,000.553059 Ether",0.04588683%,4
267,0x04ed6d343c9c358687b772f1edb265482e33a8a8,,"55,000.1 Ether",0.04588645%,2
268,0x939c6bb226a7ff63367043f1fcfa99a6312a4dc9,,"53,709.96344601 Ether",0.04481009%,3
269,0xdf1fc5523f2e5ea4f6dac2eaed3263953a391b0c,,"53,358.87993827 Ether",0.04451718%,124
270,0xe25a329d385f77df5d4ed56265babe2b99a5436e,,"53,318.26335261 Ether",0.04448330%,12171
271,0x991a7ff3cb20d5b5d6d9be5efec4e4c51cddad7a,,"53,270.49161766 Ether",0.04444344%,18
272,0x7179d580a592a79e6043c586a72d80355705a1d9,,"53,034.39412201 Ether",0.04424646%,0
274,0x97e813b9a81d097e60a5e6311bc9a475199b67ae,,"51,574.25064488 Ether",0.04302827%,184
275,0xb1cd808283870c183ee8b72d8be9ef37262f4ca0,,"51,498.09571727 Ether",0.04296473%,9
276,0x7c0c71d143c0ab9e1abc793b14d99b5cf8765e62,,"50,571.89281187 Ether",0.04219201%,13
277,0xceffc7330317f72957c662d072a5e7d63b9b578c,,"50,399.93895 Ether",0.04204854%,8
278,0x31e8e8b728bcde2287c275de4bedc4d8c6efa925,,"50,010.999412 Ether",0.04172405%,3
279,0x50cb0508434b4c68a2c4fde30b02b269d2d5b6bd,,"50,005.98478689 Ether",0.04171987%,8
280,0x42f8ca49e88a8fd8f0bfa2c739e648468b8f9dec,,"50,002.69667512 Ether",0.04171713%,22
281,0x50bd66bfddf48b8914602bf51c93756731ec51ae,,"50,001.00561846 Ether",0.04171572%,7
282,0x5a03703125380cfda804446fdaa3b4064cb6cc0a,,"50,000.89 Ether",0.04171562%,3
283,0x6220d7a458a68d6a554e5904792049fd2ef6bbcc,,"50,000.419059 Ether",0.04171523%,5
284,0x07f1d450b16e53302931c5362ee0ab41f2978541,,"50,000.150118 Ether",0.04171500%,4
285,0x2c4d7c2008f829f6b514d182a911dfc30a2f55a8,,"50,000.1 Ether",0.04171496%,2
286,0xc97b6e3e4301617f617b23120f31303e8ccee606,,"50,000.015559 Ether",0.04171489%,3
287,0x565b8fbf9336bec8fbfb4f78fbf30d7f70d6973b,,"50,000.012559 Ether",0.04171489%,3
288,0xe780a56306ba1e6bb331952c22539b858af9f77d,,"50,000 Ether",0.04171488%,2
289,0x858c83a0c97a3a710fd3b9167a0248d76d3b036f,,"50,000 Ether",0.04171488%,0
290,0xd46914c273443505563d346f98d41f6a40dff36c,,"50,000 Ether",0.04171488%,0
291,0x896dfee1afeb6336e86911bd5a341c1264e5611a,,"50,000 Ether",0.04171488%,0
292,0x16a798dbd8fa626143bb4f06fa4724d4145d4e6e,,"50,000 Ether",0.04171488%,0
293,0xa77fe4592675e319ca07f7b07cf48f953b8b9000,,"50,000 Ether",0.04171488%,3
294,0x2eed6a08fb89a5cd111efa33f8dca46cfbeb370f,,"50,000 Ether",0.04171488%,8
295,0xca9f1f44b25fec3c573bfc5a69583021592ee126,,"49,999.98406218 Ether",0.04171486%,6
296,0x453a1313270865a7cb0acd21e31db44f1a64e908,,"49,999.97497695 Ether",0.04171486%,4
297,0xa18eb0ed2543be132ef5aa3c8a87a0f5b2e30fca,,"49,996.54870979 Ether",0.04171200%,6
298,0x203520f4ec42ea39b03f62b20e20cf17db5fdfa7,,"49,783.08336323 Ether",0.04153390%,3275
299,0x914b432dad9c29c081f93d84790919335bcbd33f,,"49,667.28217151 Ether",0.04143729%,17
301,0xc3ecba28af450e2ed469164766751130d93ecc36,,"49,000.838952 Ether",0.04088128%,6
303,0xec5feafe210c12bfc9a5d05925a123f1e73fbef8,,"48,879.11155236 Ether",0.04077972%,39
304,0xe20bebb11e1335db7f6ea96987ff47fe09cd6985,,"48,262.9613597 Ether",0.04026567%,6
